Meditador,Grupo_Meditador,Control,Ventana,Med_Nodos,Med_Aristas,Med_Densidad,Med_Grado_Promedio,Med_Clustering_Promedio,Med_Longitud_Camino_Promedio,Med_Diametro,Med_Asortatividad,Med_Transitividad,Med_Betweenness_Promedio,Med_Closeness_Promedio,Ctrl_Nodos,Ctrl_Aristas,Ctrl_Densidad,Ctrl_Grado_Promedio,Ctrl_Clustering_Promedio,Ctrl_Longitud_Camino_Promedio,Ctrl_Diametro,Ctrl_Asortatividad,Ctrl_Transitividad,Ctrl_Betweenness_Promedio,Ctrl_Closeness_Promedio,Diff_Nodos,DiffRel_Nodos,Diff_Aristas,DiffRel_Aristas,Diff_Densidad,DiffRel_Densidad,Diff_Grado_Promedio,DiffRel_Grado_Promedio,Diff_Clustering_Promedio,DiffRel_Clustering_Promedio,Diff_Longitud_Camino_Promedio,DiffRel_Longitud_Camino_Promedio,Diff_Diametro,DiffRel_Diametro,Diff_Asortatividad,DiffRel_Asortatividad,Diff_Transitividad,DiffRel_Transitividad,Diff_Betweenness_Promedio,DiffRel_Betweenness_Promedio,Diff_Closeness_Promedio,DiffRel_Closeness_Promedio
taichi3,TaiChi,sleep2,1,650,2069,0.009809173876970487,6.366153846153846,0.7551085102956638,4.6968069218916675,10,0.14158185786804578,0.4137663144810441,0.005704948953536526,0.21843487518569182,650,2050,0.009719094464857176,6.3076923076923075,0.7430529731730431,4.7325637074789615,10,0.18616579679839776,0.4252860793245195,0.00576012917820828,0.21608714678167365,0,0.0,19,0.9268292682926829,9.007941211331034e-05,0.9268292682926822,0.05846153846153879,0.9268292682926881,0.012055537122620752,1.6224330643803564,-0.035756785587294004,-0.7555478974490479,0,0.0,-0.04458393893035198,-23.948512399746942,-0.011519764843475389,-2.7087095965549106,-5.518022467175358e-05,-0.9579685275203793,0.0023477284040181734,1.086472952688033
taichi3,TaiChi,sleep3,1,650,2069,0.009809173876970487,6.366153846153846,0.7551085102956638,4.6968069218916675,10,0.14158185786804578,0.4137663144810441,0.005704948953536526,0.21843487518569182,650,2092,0.009918217375844494,6.436923076923077,0.748770804128424,4.513694441152068,9,0.1664398786278434,0.38438352231950623,0.005422367964740848,0.2263847614395437,0,0.0,-23,-1.0994263862332696,-0.00010904349887400772,-1.0994263862332734,-0.0707692307692307,-1.0994263862332685,0.006337706167239832,0.8464147015743995,0.18311248073959963,4.056820485457193,1,11.11111111111111,-0.024858020759797622,-14.935135115893535,0.029382792161537885,7.644134166894491,0.0002825809887956783,5.211394553692627,-0.007949886253851873,-3.5116702216614963
taichi3,TaiChi,sleep4,1,650,2069,0.009809173876970487,6.366153846153846,0.7551085102956638,4.6968069218916675,10,0.14158185786804578,0.4137663144810441,0.005704948953536526,0.21843487518569182,650,2077,0.009847102050491881,6.390769230769231,0.7477703513653337,4.429825767452886,9,0.1976100120507964,0.39728868430370784,0.005292940999155692,0.23060239338001268,0,0.0,-8,-0.38517091959557054,-3.792817352139474e-05,-0.3851709195955795,-0.024615384615384706,-0.3851709195955719,0.007338158930330185,0.9813385776704893,0.26698115443878123,6.0268996672592205,1,11.11111111111111,-0.05602815418275062,-28.352892447751266,0.016477630177336278,4.147520638856135,0.0004120079543808346,7.784102532912353,-0.012167518194320853,-5.276405858576603
taichi3,TaiChi,sleep5,1,650,2069,0.009809173876970487,6.366153846153846,0.7551085102956638,4.6968069218916675,10,0.14158185786804578,0.4137663144810441,0.005704948953536526,0.21843487518569182,650,1809,0.008576508237525187,5.5661538461538465,0.7173372276621541,5.141818181818182,10,0.2552821389253521,0.38501106914962885,0.006391694725028055,0.19841312638262248,0,0.0,260,14.372581536760642,0.0012326656394452996,14.37258153676063,0.7999999999999998,14.372581536760636,0.037771282633509706,5.265484792502492,-0.44501125992651414,-8.654745154157807,0,0.0,-0.11370028105730634,-44.539066280134,0.02875524533141527,7.468680158969655,-0.0006867457714915285,-10.744345608410049,0.02002174880306934,10.090939630908862
taichi3,TaiChi,sleep6,1,650,2069,0.009809173876970487,6.366153846153846,0.7551085102956638,4.6968069218916675,10,0.14158185786804578,0.4137663144810441,0.005704948953536526,0.21843487518569182,650,2032,0.00963375607443404,6.252307692307692,0.7305843970480042,4.798203152779424,10,0.219817540244217,0.4155622766015947,0.005861424618486754,0.21272280510764063,0,0.0,37,1.8208661417322833,0.0001754178025364459,1.8208661417322765,0.11384615384615415,1.8208661417322887,0.024524113247659685,3.356780318160599,-0.10139623088775629,-2.113212543512693,0,0.0,-0.07823568237617123,-35.59119180810207,-0.0017959621205506093,-0.4321764081277336,-0.00015647566495022736,-2.6695841904493305,0.00571207007805119,2.6852175417491346
taichi3,TaiChi,sleep7,1,650,2069,0.009809173876970487,6.366153846153846,0.7551085102956638,4.6968069218916675,10,0.14158185786804578,0.4137663144810441,0.005704948953536526,0.21843487518569182,650,2201,0.010434988740073486,6.772307692307693,0.7615889327982014,4.737494370036743,10,0.1914006346079981,0.4652589295407665,0.005767738225365344,0.21557664342190985,0,0.0,-132,-5.997273966378919,-0.0006258148631029994,-5.997273966378925,-0.4061538461538463,-5.997273966378921,-0.006480422502537553,-0.8509081767676729,-0.040687448145075855,-0.858838976198304,0,0.0,-0.04981877673995233,-26.028532685894522,-0.05149261505972236,-11.067517846578056,-6.278927182881786e-05,-1.0886290149695659,0.002858231763781971,1.3258540992254257
taichi3,TaiChi,sleep8,1,650,2069,0.009809173876970487,6.366153846153846,0.7551085102956638,4.6968069218916675,10,0.14158185786804578,0.4137663144810441,0.005704948953536526,0.21843487518569182,650,1985,0.009410928054995852,6.107692307692307,0.7271203527326346,4.95782387104421,10,0.25669230670095455,0.4160752306600426,0.006107752887413897,0.20611333285881134,0,0.0,84,4.231738035264484,0.0003982458219746344,4.231738035264471,0.25846153846153896,4.231738035264492,0.027988157563029192,3.8491781254430877,-0.2610169491525429,-5.264748323896546,0,0.0,-0.11511044883290877,-44.84374709640673,-0.002308916178998477,-0.5549275729140902,-0.0004028039338773706,-6.594961212452115,0.012321542326880486,5.978042349798304
taichi4,TaiChi,sleep1,1,650,3268,0.015493658883489391,10.055384615384616,0.714989545669772,4.477326063766742,9,0.19767001166442422,0.4943663963794079,0.005366243925565958,0.22930920294436632,650,2197,0.010416024653312789,6.76,0.7409350459778815,4.063382718975939,8,0.11801108814314204,0.364357063580149,0.004727442467555453,0.2518873404244411,0,0.0,1071,48.748293126991356,0.005077634230176603,48.74829312699135,3.2953846153846165,48.74829312699137,-0.025945500308109493,-3.5017239971240373,0.41394334479080275,10.187161127050457,1,12.5,0.07965892352128218,67.5012193978413,0.13000933279925886,35.681847779152555,0.000638801458010505,13.512622573296538,-0.022578137480074784,-8.963585641910244
taichi4,TaiChi,sleep2,1,650,3268,0.015493658883489391,10.055384615384616,0.714989545669772,4.477326063766742,9,0.19767001166442422,0.4943663963794079,0.005366243925565958,0.22930920294436632,650,2050,0.009719094464857176,6.3076923076923075,0.7430529731730431,4.7325637074789615,10,0.18616579679839776,0.4252860793245195,0.00576012917820828,0.21608714678167365,0,0.0,1218,59.41463414634146,0.005774564418632215,59.41463414634146,3.7476923076923088,59.414634146341484,-0.028063427503271066,-3.7767734625207696,-0.2552376437122197,-5.393221507168783,-1,-10.0,0.011504214866026458,6.179553421665622,0.06908031705488837,16.243258459013852,-0.00039388525264232206,-6.838132278916048,0.013222056162692675,6.118853601251788
taichi4,TaiChi,sleep3,1,650,3268,0.015493658883489391,10.055384615384616,0.714989545669772,4.477326063766742,9,0.19767001166442422,0.4943663963794079,0.005366243925565958,0.22930920294436632,650,2092,0.009918217375844494,6.436923076923077,0.748770804128424,4.513694441152068,9,0.1664398786278434,0.38438352231950623,0.005422367964740848,0.2263847614395437,0,0.0,1176,56.21414913957935,0.005575441507644897,56.21414913957935,3.6184615384615393,56.21414913957936,-0.033781258458651986,-4.511561918866972,-0.036368377385326056,-0.8057341465950771,0,0.0,0.031230133036580815,18.763611998546835,0.10998287405990165,28.6127962500125,-5.612403917489017e-05,-1.0350466722258402,0.002924441504822628,1.2918013943282147
taichi4,TaiChi,sleep4,1,650,3268,0.015493658883489391,10.055384615384616,0.714989545669772,4.477326063766742,9,0.19767001166442422,0.4943663963794079,0.005366243925565958,0.22930920294436632,650,2077,0.009847102050491881,6.390769230769231,0.7477703513653337,4.429825767452886,9,0.1976100120507964,0.39728868430370784,0.005292940999155692,0.23060239338001268,0,0.0,1191,57.34232065479057,0.00564655683299751,57.34232065479055,3.6646153846153853,57.34232065479057,-0.03278080569556163,-4.383806557147932,0.04750029631385555,1.0722836248516345,0,0.0,5.999961362782025e-05,0.030362638514690805,0.09707771207570004,24.43505589539743,7.330292641026612e-05,1.3849186382761325,-0.001293190435646352,-0.5607879505028757
taichi4,TaiChi,sleep5,1,650,3268,0.015493658883489391,10.055384615384616,0.714989545669772,4.477326063766742,9,0.19767001166442422,0.4943663963794079,0.005366243925565958,0.22930920294436632,650,1809,0.008576508237525187,5.5661538461538465,0.7173372276621541,5.141818181818182,10,0.2552821389253521,0.38501106914962885,0.006391694725028055,0.19841312638262248,0,0.0,1459,80.65229408512991,0.006917150645964204,80.6522940851299,4.48923076923077,80.65229408512991,-0.0023476819923821113,-0.3272773114025255,-0.6644921180514398,-12.923290839048512,-1,-10.0,-0.0576121272609279,-22.568021211141,0.10935532722977903,28.403164478182756,-0.001025450799462097,-16.04348836384072,0.03089607656174384,15.571588999693214
taichi4,TaiChi,sleep6,1,650,3268,0.015493658883489391,10.055384615384616,0.714989545669772,4.477326063766742,9,0.19767001166442422,0.4943663963794079,0.005366243925565958,0.22930920294436632,650,2032,0.00963375607443404,6.252307692307692,0.7305843970480042,4.798203152779424,10,0.219817540244217,0.4155622766015947,0.005861424618486754,0.21272280510764063,0,0.0,1236,60.82677165354331,0.005859902809055351,60.8267716535433,3.803076923076924,60.82677165354332,-0.015594851378232133,-2.134572191966406,-0.32087708901268197,-6.687442752956585,-1,-10.0,-0.022147528579792797,-10.075414616680234,0.07880411977781315,18.96325153049533,-0.0004951806929207958,-8.44812865730647,0.01658639783672569,7.797188377773012
taichi4,TaiChi,sleep7,1,650,3268,0.015493658883489391,10.055384615384616,0.714989545669772,4.477326063766742,9,0.19767001166442422,0.4943663963794079,0.005366243925565958,0.22930920294436632,650,2201,0.010434988740073486,6.772307692307693,0.7615889327982014,4.737494370036743,10,0.1914006346079981,0.4652589295407665,0.005767738225365344,0.21557664342190985,0,0.0,1067,48.47796456156293,0.005058670143415905,48.47796456156292,3.2830769230769237,48.47796456156293,-0.04659938712842937,-6.118705921475994,-0.26016830627000154,-5.491685814245805,-1,-10.0,0.006269377056426106,3.275525741733422,0.029107466838641405,6.256186607180632,-0.00040149429979938634,-6.961035402641815,0.013732559522456472,6.370151842275498
taichi4,TaiChi,sleep8,1,650,3268,0.015493658883489391,10.055384615384616,0.714989545669772,4.477326063766742,9,0.19767001166442422,0.4943663963794079,0.005366243925565958,0.22930920294436632,650,1985,0.009410928054995852,6.107692307692307,0.7271203527326346,4.95782387104421,10,0.25669230670095455,0.4160752306600426,0.006107752887413897,0.20611333285881134,0,0.0,1283,64.63476070528968,0.006082730828493539,64.63476070528965,3.947692307692309,64.6347607052897,-0.012130807062862625,-1.6683355124462012,-0.4804978072774686,-9.691707889902649,-1,-10.0,-0.05902229503653034,-22.993402410494156,0.07829116571936529,18.81658891233871,-0.0007415089618479391,-12.140454525852693,0.023195870085554987,11.253939647584213
yoga1,Yoga,sleep1,1,650,4387,0.02079886215479436,13.49846153846154,0.7086411895359692,3.989716723954012,8,0.12918956132674644,0.5153131792135941,0.004613760376472242,0.2555687424772047,650,2197,0.010416024653312789,6.76,0.7409350459778815,4.063382718975939,8,0.11801108814314204,0.364357063580149,0.004727442467555453,0.2518873404244411,0,0.0,2190,99.68138370505234,0.01038283750148157,99.68138370505237,6.738461538461539,99.68138370505237,-0.032293856441912294,-4.358527325332689,-0.07366599502192717,-1.812922880188175,0,0.0,0.011178473183604404,9.472392263721378,0.15095611563344508,41.43081902959696,-0.00011368209108321078,-2.404727119651135,0.0036814020527635716,1.4615272234643668
